Country,Age,Salary,Purchased,ts
France,44,7200,NO,2021-07-02 17:06:19
Spain,27,4800,Yes,2020-07-02 17:06:19
Germany,30,5400,NO,2019-07-02 17:06:19
France,38,6100,NO,2021-06-02 17:06:19
Spain,40,7200,NO,2021-07-04 17:06:19
Germany,35,7200,NO,2018-07-02 17:06:19
France,,7200,NO,2017-07-02 17:06:19
Spain,48,7200,NO,2016-07-02 17:06:19
Germany,50,7200,Yes,2015-07-02 17:06:19
France,44,7200,NO,2021-07-02 17:06:19
Spain,27,4800,Yes,2020-07-02 17:06:19
Germany,30,5400,NO,2019-07-02 17:06:19
France,38,6100,NO,2021-06-02 17:06:19
Spain,40,7200,NO,2021-07-04 17:06:19
Germany,35,7200,NO,2018-07-02 17:06:19
France,,7200,NO,2017-07-02 17:06:19
Spain,48,7200,NO,2016-07-02 17:06:19
Germany,50,7200,Yes,2015-07-02 17:06:19
France,44,7200,NO,2021-07-02 17:06:19
Spain,27,4800,Yes,2020-07-02 17:06:19
Germany,30,5400,NO,2019-07-02 17:06:19
France,38,6100,NO,2021-06-02 17:06:19
Spain,40,7200,NO,2021-07-04 17:06:19
Germany,35,7200,NO,2018-07-02 17:06:19
France,,7200,NO,2017-07-02 17:06:19
Spain,48,7200,NO,2016-07-02 17:06:19
Germany,50,7200,Yes,2015-07-02 17:06:19
France,44,7200,NO,2021-07-02 17:06:19
Spain,27,4800,Yes,2020-07-02 17:06:19
Germany,30,5400,NO,2019-07-02 17:06:19
France,38,6100,NO,2021-06-02 17:06:19
Spain,40,7200,NO,2021-07-04 17:06:19
Germany,35,7200,NO,2018-07-02 17:06:19
France,,7200,NO,2017-07-02 17:06:19
Spain,48,7200,NO,2016-07-02 17:06:19
Germany,50,7200,Yes,2015-07-02 17:06:19
France,44,7200,NO,2021-07-02 17:06:19
Spain,27,4800,Yes,2020-07-02 17:06:19
Germany,30,5400,NO,2019-07-02 17:06:19
France,38,6100,NO,2021-06-02 17:06:19
